org,name,language,license,version,has_codemeta,has_citation,has_zenodo
OSGeo,grass-addons,Python,GPL-2.0,NA,FALSE,FALSE,FALSE
matiscke,late-m-occurrence,TeX,MIT,NA,FALSE,FALSE,FALSE
yoshikisd,IceScanner,MATLAB,NA,v1.0.0,FALSE,FALSE,FALSE
unipept,unipept-desktop,Pep8,MIT,v1.2.4,FALSE,FALSE,FALSE
fernphy,ftolr,R,NA,v1.0.0,FALSE,FALSE,FALSE
christinahedges,contaminante,Python,MIT,0.5.2,FALSE,FALSE,FALSE
selimamrouni,Deep-Portfolio-Management-Reinforcement-Learning,Jupyter Notebook,NA,rl,FALSE,FALSE,FALSE
ceci4323,FOCAL_thesis_2021,Python,NA,NA,FALSE,FALSE,FALSE
The-Academic-Observatory,coki-oa-web,TypeScript,Apache-2.0,v0.3.1,FALSE,FALSE,TRUE
OpenFreeEnergy,openfe,Python,MIT,v0.2.1,FALSE,FALSE,FALSE
giswqs,leafmap,Python,MIT,v0.9.1,FALSE,FALSE,FALSE
SticsRPacks,CroPlotR,R,NA,v0.7.2,FALSE,FALSE,FALSE
veritaass,pig_mmdet,Python,Apache-2.0,v2.1.0,FALSE,FALSE,FALSE
var-mar,circular_knitic,C++,MIT,knitic,FALSE,FALSE,FALSE
seanpm2001,My-Linux-setup,Shell,GPL-3.0,V0.1.2Beta,FALSE,FALSE,FALSE
pamitabh,Zebrafish-Image-Segmentation-ML,Jupyter Notebook,GPL-3.0,NA,FALSE,FALSE,FALSE
CN-UPB,FutureCoord,Python,MIT,v1.0,FALSE,FALSE,FALSE
ni1o1,pybdshadow,Jupyter Notebook,BSD-3-Clause,0.1.2,FALSE,FALSE,FALSE
HabanaAI,Model-References,Python,NA,NA,FALSE,FALSE,FALSE
davidsneighbour,hugo-head,HTML,MIT,v1.0.7,FALSE,FALSE,FALSE
Alesyrex,Skillbox_HW_32_2,C++,NA,NA,FALSE,FALSE,FALSE
SauravMaheshkar,infographics,NA,MIT,v0.0.1,FALSE,FALSE,FALSE
pace-neutrons,pace-python,Python,GPL-3.0,v0.2.0,FALSE,FALSE,FALSE
sarahmish,sintel-paper,Jupyter Notebook,MIT,0.1.0,FALSE,FALSE,FALSE
jdestefani,ExtendedDFML,R,GPL-3.0,NA,FALSE,FALSE,FALSE
tudasc,MetaCG,C++,BSD-3-Clause,v0.4.0,FALSE,FALSE,FALSE
precice,fenics-adapter,Python,LGPL-3.0,v1.3.0,FALSE,FALSE,FALSE
CondorCompPhil,falcon,Python,NA,0.0.1-alpha,FALSE,FALSE,FALSE
kamermanpr,painblogr-plotr,NA,MIT,v0.1.5,FALSE,FALSE,FALSE
ltl-ude,inceptalytics,Python,NA,v0.1.0,FALSE,FALSE,FALSE
the-cognitiveservices-ninja,the-cognitiveservices-ninja.github.io,Dockerfile,Apache-2.0,NA,FALSE,FALSE,FALSE
tnecnivkcots,pyiron_base_c,Python,NA,NA,FALSE,FALSE,FALSE
brains-on-code,fMRI-complexity-metrics-icse2021,Rich Text Format,CC-BY-SA-4.0,v1.0.1,FALSE,FALSE,FALSE
ghurault,HuraultMisc,R,NA,v1.1.1,FALSE,FALSE,FALSE
SISVSE,mmsegmentation,Python,Apache-2.0,NA,FALSE,FALSE,FALSE
Henze-Digital,HWH-ODD,HTML,NA,BasicChaining,FALSE,FALSE,FALSE
tillbiskup,aspecd,Python,BSD-2-Clause,v0.7.0,FALSE,FALSE,FALSE
spideruci,morpheus,JavaScript,NA,v1.1.7-user-study,FALSE,FALSE,FALSE
DICE-VISION,dice-mmcls,Jupyter Notebook,Apache-2.0,NA,FALSE,FALSE,FALSE
Klemet,LANDIS-II-Forest-Roads-Simulation-extension,C#,Apache-2.0,1.3.1,FALSE,FALSE,FALSE
jdestefani,MM4Benchmark,R,NA,NA,FALSE,FALSE,FALSE
bede,vespasian,Python,GPL-3.0,0.5.3,FALSE,FALSE,FALSE
zmlabe,SAI,Python,NA,NA,FALSE,FALSE,FALSE
bgonzalezbustamante,v-ink-flavoured,NA,MIT-0,v1.2.1,FALSE,FALSE,FALSE
skit-ai,emotion-tts-dataset,NA,NA,NA,FALSE,FALSE,FALSE
YJ-20,sign-language-translation,Python,NA,NA,FALSE,FALSE,FALSE
STAR-Laboratory,Accelerating-RecSys-Training,Python,MIT,NA,FALSE,FALSE,FALSE
seanpm2001,SeansAudioDB,HTML,NA,V0.1.3.19,FALSE,FALSE,FALSE
ZsichlaLevente,IFR-Shift,R,NA,NA,FALSE,FALSE,FALSE
glorialulu,GNN_StateEstimation_WDS,Jupyter Notebook,NA,NA,FALSE,FALSE,FALSE
BrandonIW,AverageCalc,Python,GPL-3.0,NA,FALSE,FALSE,FALSE
davidsneighbour,hugo-social,HTML,MIT,v0.1.1,FALSE,FALSE,FALSE
nialov,geotransform,Python,MIT,v0.0.5,FALSE,FALSE,FALSE
AirbusDefenceAndSpace,vispa,Python,Apache-2.0,NA,FALSE,FALSE,FALSE
QiangZiBro,cv-aio,Jupyter Notebook,NA,NA,FALSE,FALSE,FALSE
luomus,finbif,R,NA,v0.6.4,TRUE,FALSE,TRUE
zelezniak-lab,zelezniak-lab.github.io,SCSS,BSD-3-Clause,NA,FALSE,FALSE,FALSE
rajaswa,indic-syntax-evaluation,Jupyter Notebook,MIT,NA,FALSE,FALSE,FALSE
icg-cat,eu-silc_sim,R,NA,NA,FALSE,FALSE,FALSE
puzzlef,pagerank-adjust-rank-datatype,C++,MIT,1.1.0,FALSE,FALSE,FALSE
silveira-lucas,Nonlinear_FEM,Jupyter Notebook,GPL-3.0,NA,FALSE,FALSE,FALSE
RamiresOliv,Easy_Jekyll,HTML,GPL-2.0,NA,FALSE,FALSE,FALSE
SoClear,soclear.github.io,JavaScript,NA,NA,FALSE,FALSE,FALSE
Qiza-lyhm,mmcv_on_mlu,Python,Apache-2.0,v1.4.5,FALSE,FALSE,FALSE
JanMuench,Tutorial_Bayesian_Filter_cPCF_data,Python,NA,NA,FALSE,FALSE,FALSE
carlesfernandez,oe-gnss-sdr-manifest,Shell,MIT,zeus-22.02,FALSE,FALSE,FALSE
MarkBuckwell,surface-analysis,MATLAB,NA,NA,FALSE,FALSE,FALSE
ChristianDaza,Software_Development_group,Python,NA,v1.0.0,FALSE,FALSE,FALSE
EarthToMooney,CpHMD-of-K2-PH,Shell,NA,NA,FALSE,FALSE,FALSE
sveneschlbeck,Multi-Language-RTVC,Python,MIT,NA,FALSE,FALSE,FALSE
ajaymur91,CLIPS,Shell,NA,v5.0,FALSE,FALSE,FALSE
biosimulations,biosimulations,TypeScript,MIT,v9.13.4,FALSE,FALSE,FALSE
GerbenBeintema,encoder-CT-ode-ecml-2022,Jupyter Notebook,NA,NA,FALSE,FALSE,FALSE
seanpm2001,SeansLifeArchive_Images_GitHub,Ruby,GPL-3.0,M5V1.1A,FALSE,FALSE,FALSE
correspSearch,csHarvester,JavaScript,GPL-3.0,v1.0.0,FALSE,FALSE,FALSE
radifar,PyPLIF-HIPPOS,Python,NA,0.1.2,FALSE,FALSE,FALSE
YingjieQiao,SentimentAnalysis,Python,NA,NA,FALSE,FALSE,FALSE
pgaspar96,BC66-TE-B-Arduino-Data-Collecting,C++,NA,NA,FALSE,FALSE,FALSE
KwanLab,Autometa,Python,NA,2.0.2,FALSE,FALSE,FALSE
lectaurep,lepidemo,Jupyter Notebook,CC-BY-4.0,v1.0,FALSE,FALSE,FALSE
puzzlef,multiply-cuda-adjust-duty,C++,MIT,1.0.0,FALSE,FALSE,FALSE
rurz,UnitRots,Julia,MIT,NA,FALSE,FALSE,FALSE
msuefishlab,msuefishlab.github.io,HTML,BSD-3-Clause,NA,FALSE,FALSE,FALSE
OgnyanSimeonov,LowBirthWeight,Stata,NA,NA,FALSE,FALSE,FALSE
burkesquires,rbs-website,SCSS,BSD-3-Clause,NA,FALSE,FALSE,FALSE
ariroffe,logics,Python,MIT,NA,FALSE,FALSE,FALSE
9haeng,ds-section4-project,Jupyter Notebook,NA,NA,FALSE,FALSE,FALSE
dougrichardson,Richardson_compound_wildfire,Jupyter Notebook,MIT,v1.0.0,FALSE,FALSE,FALSE
Sydney-Informatics-Hub,Germline-ShortV,Shell,GPL-3.0,v1.0,FALSE,FALSE,FALSE
Project-MONAI,MONAILabel,Python,Apache-2.0,data,FALSE,FALSE,FALSE
ondesly,json,C++,MIT,v3.10.5,FALSE,FALSE,FALSE
CognitiveNeuroLab,Speech-in-noise-pipeline,MATLAB,MIT,Speech-in-noise-pipeline,FALSE,FALSE,FALSE
jamolama,citation-test,NA,NA,NA,FALSE,FALSE,FALSE
enjoysmath,Sopot,JavaScript,MIT,NA,FALSE,FALSE,FALSE
caltechlibrary,OVRO-demo,HTML,NA,NA,TRUE,FALSE,FALSE
xisphias,LAKE2.0_processing-scripts,Jupyter Notebook,NA,v4,FALSE,FALSE,FALSE
Suraj1127,nepali-roman,Python,MIT,v0.3,FALSE,FALSE,FALSE
qantik,skinny-dipping,VHDL,NA,NA,FALSE,FALSE,FALSE
helmholtz-analytics,heat,Python,MIT,v1.1.1,FALSE,FALSE,FALSE
lootie,Multitaper.jl,Julia,NA,v1.2,FALSE,FALSE,FALSE
varkor,quiver,JavaScript,MIT,NA,FALSE,FALSE,FALSE
NVIDIA,MatX,C++,NA,v01.1.1,FALSE,FALSE,FALSE
muhammadhamzahabibhashmi,segmentt,Python,Apache-2.0,NA,FALSE,FALSE,FALSE
SticsRPacks,SticsRFiles,R,NA,v0.4.2,FALSE,FALSE,FALSE
gparadis,wbi_ria_yield,Jupyter Notebook,NA,v0.0.1,FALSE,FALSE,FALSE
facebookresearch,torchdynamo,Python,BSD-3-Clause,NA,FALSE,FALSE,FALSE
akhilshekar4991,fulcrum-analytical-tool,C++,NA,NA,FALSE,FALSE,FALSE
LFPy,LFPykernels,Python,GPL-3.0,v0.1.rc7,FALSE,FALSE,FALSE
bkuhlmann,rubysmith,Ruby,NA,2.0.2,FALSE,FALSE,FALSE
ebagdasa,propaganda_as_a_service,Python,Apache-2.0,NA,FALSE,FALSE,FALSE
caiogarzeri,Projeto_Final_Dados,R,NA,NA,FALSE,FALSE,FALSE
zugazagoitia,knag,PowerShell,AGPL-3.0,NA,FALSE,FALSE,FALSE
Ike-G,dpsSims,C++,NA,v1.0,FALSE,FALSE,FALSE
pat266,question_generation,Jupyter Notebook,MIT,NA,FALSE,FALSE,FALSE
Christinepan881,AirBEM_MMSegmentation,Python,Apache-2.0,NA,FALSE,FALSE,FALSE
nickmckay,past-and-future-warming-comparison-figure,R,MIT,v1.1.0,FALSE,FALSE,FALSE
ersilia-os,ersilia,Python,AGPL-3.0,v0.0.11,FALSE,FALSE,FALSE
KennthShang,HostG,Python,NA,NA,FALSE,FALSE,FALSE
nsidc,qgreenland,Python,NA,yaml-overhaul,FALSE,FALSE,FALSE
LoveForGingers,SquidGameProbability,NA,NA,NA,FALSE,FALSE,FALSE
EAGG-UF,PRIMME,C++,NA,NA,FALSE,FALSE,FALSE
bjmorgan,py-sc-fermi,Python,MIT,v0.1.1,FALSE,FALSE,FALSE
dlr-eoc,ukis-csmask,Python,NA,v0.14,FALSE,FALSE,FALSE
jacksonb-cs,Privacy-Preserving-ML,JavaScript,NA,NA,FALSE,FALSE,FALSE
bkuhlmann,tocer,Ruby,NA,v7.0.2,FALSE,FALSE,FALSE
periodo,edtf-ontology,Makefile,CC0-1.0,NA,FALSE,FALSE,FALSE
ucb-cyarp,BerkeleySharedMemoryFIFO,C,BSD-3-Clause,v1.0.1,FALSE,FALSE,FALSE
le1nux,mlgym,Python,Apache-2.0,v0.0.55,FALSE,FALSE,FALSE
JasjotbirSingh,XVAA,Python,NA,NA,FALSE,FALSE,FALSE
The-Academic-Observatory,oaebu-workflows,Python,Apache-2.0,2022.03.0,FALSE,FALSE,TRUE
ThomasBury,arfs,Python,MIT,0.3.3,FALSE,FALSE,FALSE
sieckert,EckertHerdenStiftDurkavanKleunenJoshi_2022_RMarkdown,R,GPL-3.0,v1.0.0,FALSE,FALSE,FALSE
EDIorg,EDIutils,R,NA,1.0.0,TRUE,FALSE,FALSE
maomlab,CalCEN,R,NA,NA,FALSE,FALSE,FALSE
acli,new_clock,Perl,MIT,NA,FALSE,FALSE,FALSE
erdogant,clusteval,Jupyter Notebook,NA,v0.1.1,FALSE,FALSE,FALSE
gopt-ufjf,DMR-solver,MATLAB,NA,NA,FALSE,FALSE,FALSE
manuel-rhdt,PathWeightSampling.jl,Julia,MIT,v0.1.0,FALSE,FALSE,FALSE
matthiasfabry,tidal_deformation_2022,Fortran,NA,v1.0,FALSE,FALSE,FALSE
adamrkenny,contrada-primer,R,NA,v1.0,FALSE,FALSE,FALSE
denisrosset,l1periodogram,Jupyter Notebook,GPL-3.0,NA,FALSE,FALSE,FALSE
NeuroSainteAnne,synthFLAIR,Python,BSD-3-Clause,1.0,FALSE,FALSE,FALSE
NatLibFi,Annif,Python,NA,v0.57.0,FALSE,FALSE,FALSE
gdelazzari,Mushley,Python,MIT,NA,FALSE,FALSE,FALSE
ekiwi,rtl-fuzz-lab,SystemVerilog,BSD-2-Clause,NA,FALSE,FALSE,FALSE
SBU-Chen-Wiegart,Interacial-shape-distribution-ISD,Python,NA,NA,FALSE,FALSE,FALSE
FarzanehParizi,Farzaneh-edit,Python,Apache-2.0,v0.2,FALSE,FALSE,FALSE
TNO-MPC,encryption_schemes.paillier,Python,Apache-2.0,NA,FALSE,FALSE,FALSE
CSQ223,constrained.shortest.path.problem,C++,NA,NA,FALSE,FALSE,FALSE
xunchanglu0901,LSTM-PSO-GAS-GA,Jupyter Notebook,NA,NA,FALSE,FALSE,FALSE
wpfadenhauer,Remember-Your-Roots,R,NA,v1.1,FALSE,FALSE,FALSE
hedjour,med_to_csv,Python,GPL-3.0,v0.9.3,FALSE,FALSE,FALSE
HutzlerLab,ParticleTracing,Julia,NA,NA,FALSE,FALSE,FALSE
YangPhy,para,Mathematica,MIT,v1.0.1,FALSE,FALSE,FALSE
geospace-code,maptran3d,Fortran,BSD-2-Clause,v1.2.0,TRUE,FALSE,FALSE
ralfroemer99,Robothon,C++,NA,NA,FALSE,FALSE,FALSE
highmed,highmed-dsf,Java,Apache-2.0,v0.5.5,FALSE,FALSE,FALSE
eeveetza,p528,MATLAB,NA,NA,FALSE,FALSE,FALSE
bkenan,rl_offline,Python,MIT,NA,FALSE,FALSE,FALSE
TobiaMarcucci,shortest-paths-in-graphs-of-convex-sets,Jupyter Notebook,NA,NA,FALSE,FALSE,FALSE
filipeloyola,laboratory-tests-preprocessing,Jupyter Notebook,MIT,0.1.0,FALSE,FALSE,FALSE
Sydney-Informatics-Hub,Bootstrapping-for-BQSR,Shell,NA,NA,FALSE,FALSE,FALSE
nnthanh2307,TensorFlowPi,C++,Apache-2.0,NA,FALSE,FALSE,TRUE
victorjesusamoresmedianero,PSplines.jl,Julia,MIT,v1.0.0,FALSE,FALSE,FALSE
ForumGISUW,SettlementPatternTools,R,NA,Archaeology,FALSE,FALSE,FALSE
Westly-Bouchard,mathIA,Python,NA,NA,FALSE,FALSE,FALSE
agsiddhant,ForwardSurrogate_Mars_2D,Jupyter Notebook,MIT,v1.0,FALSE,FALSE,FALSE
IAMconsortium,pyam,Python,Apache-2.0,v1.3.1,FALSE,FALSE,FALSE
OnroerendErfgoed,scriptorium,Jupyter Notebook,CC-BY-4.0,v1.0.0,FALSE,FALSE,FALSE
stidk,my_detection3d,Python,Apache-2.0,NA,FALSE,FALSE,FALSE
ajaymur91,ClusterSAM,Shell,NA,NA,FALSE,FALSE,FALSE
GregorySchwing,globins,Rich Text Format,GPL-3.0,NA,FALSE,FALSE,FALSE
farr,KDEMarginalization,TeX,MIT,NA,FALSE,FALSE,FALSE
morphometry,karambola,C++,GPL-3.0,NA,FALSE,FALSE,FALSE
devalk96,Thema09,HTML,NA,NA,FALSE,FALSE,FALSE
chauncygu,Safe-Reinforcement-Learning-Baseline,Jupyter Notebook,NA,NA,FALSE,FALSE,FALSE
Chris10M,Lip2Speech,Python,MIT,NA,FALSE,FALSE,FALSE
tesselle,folio,R,GPL-3.0,v1.0.0,TRUE,FALSE,FALSE
NanoCommons,identifiers,NA,NA,2022-03,FALSE,FALSE,FALSE
akautt,akautt.github.io,SCSS,BSD-3-Clause,NA,FALSE,FALSE,FALSE
dermatologist,lesion-mapper,Vue,NA,0.1.6,FALSE,FALSE,FALSE
philipdarke,pypi-cookiecutter,Python,MIT,NA,FALSE,FALSE,FALSE
KevinMusgrave,pytorch-adapt,Python,MIT,v0.0.61,FALSE,FALSE,FALSE
SilviaLazzardi,Emergent_Laws_in_scRNA-seq_Data,Jupyter Notebook,GPL-3.0,NA,FALSE,FALSE,FALSE
violeteloiv,Extended-Essay-Files,C++,NA,NA,FALSE,FALSE,FALSE
zhenyuw16,combatnoise,Python,Apache-2.0,NA,FALSE,FALSE,FALSE
Swarm-DISC,SwarmX,Python,MIT,NA,FALSE,FALSE,FALSE
gabrielkim13,json-logic-cpp,C++,NA,1.0.1,FALSE,FALSE,FALSE
extratone,fuck,NA,NA,NA,FALSE,FALSE,FALSE
kssteven418,transformers-private,Python,Apache-2.0,NA,FALSE,FALSE,FALSE
divad1196,CPPLibBundle,C++,NA,NA,FALSE,FALSE,FALSE
lehagram,easyMoss_v,NA,GPL-3.0,v0.0.1,FALSE,FALSE,FALSE
ElmerCSC,elmer-elmag,Python,NA,NA,FALSE,FALSE,FALSE
brains-on-code,eyetracking-linearity-replication,Python,CC-BY-SA-4.0,NA,FALSE,FALSE,FALSE
ulfsri,fsri-compartments-2018,Python,MIT,v2.0,FALSE,FALSE,FALSE
JustWhit3,arsenalgear,C++,MIT,v1.0.0,FALSE,FALSE,FALSE
LandscapeGeoinformatics,adapt_hist_nb2021,Jupyter Notebook,MIT,r2021.1,FALSE,FALSE,FALSE
yatiml,yatiml,Python,Apache-2.0,0.9.0,FALSE,FALSE,FALSE
aoertel,ultrametric-matrix-tools,Rust,Apache-2.0,v0.1.1,FALSE,FALSE,FALSE
Sydney-Informatics-Hub,Gadi-Trinity,Shell,GPL-3.0,v1.0,FALSE,FALSE,FALSE
lhotse-speech,lhotse,Python,Apache-2.0,v1.0,FALSE,FALSE,FALSE
cistib,mi-prediction,Python,NA,v2.1.0,FALSE,FALSE,FALSE
omwn,omw-data,Python,NA,v1.4,FALSE,FALSE,FALSE
citation-file-format,cffconvert-github-action,NA,Apache-2.0,v1,FALSE,FALSE,FALSE
AIS-Bonn,sl-scenes,Python,MIT,NA,FALSE,FALSE,FALSE
mscroggs,symfem,Python,MIT,v2021.12.1,TRUE,FALSE,FALSE
goucher-ml,2021-Fall_Object_Detection,Jupyter Notebook,NA,NA,FALSE,FALSE,FALSE
chiahsuan156,DST-as-Prompting,Python,NA,NA,FALSE,FALSE,FALSE
Group-Theory,Sus-Tag,Kotlin,NA,NA,FALSE,FALSE,FALSE
witefab,master-thesis-code,NA,NA,NA,FALSE,FALSE,FALSE
OnroerendErfgoed,skosprovider_rdf,Python,MIT,1.0.0,FALSE,FALSE,FALSE
PuSho4Ek,32.5.1,C++,NA,NA,FALSE,FALSE,FALSE
TRoboto,Maha,Python,BSD-3-Clause,v0.3.0,FALSE,FALSE,FALSE
Alec-Schneider,FinancialHealthDatabase,Jupyter Notebook,NA,NA,FALSE,FALSE,FALSE
Echtzeitsysteme,iflye,Java,GPL-3.0,v0.0.3,FALSE,FALSE,FALSE
eWaterCycle,ewatercycle,Python,NA,1.2.0,FALSE,FALSE,TRUE
AurapatN,AurapatN-website,SCSS,BSD-3-Clause,NA,FALSE,FALSE,FALSE
evoldoers,biomake,Prolog,BSD-3-Clause,v0.1.5,FALSE,FALSE,FALSE
LandscapeGeoinformatics,csv_boxplots_nb2021,Jupyter Notebook,MIT,r2022.1,FALSE,FALSE,FALSE
Waterman0524,2022-Aliyun-Tianchi-Real-Scene-Tampering-Image-Detection-Challenge-Rank1,Python,NA,NA,FALSE,FALSE,FALSE
swcarpentry,collaborative-lesson-development,TeX,NA,NA,FALSE,FALSE,FALSE
tbrown122387,cpm,R,NA,v1.0.1,FALSE,FALSE,FALSE
jfmendozam,ontotoutra,Jupyter Notebook,Apache-2.0,NA,FALSE,FALSE,FALSE
seanpm2001,Linux_Defender_For_Raspberry_Pi,Python,GPL-3.0,NA,FALSE,FALSE,FALSE
sappelhoff,eeg_positions,Python,BSD-3-Clause,v1.0.4,FALSE,FALSE,FALSE
LivingNorway,LivingNorwayR,R,NA,v1.0.0,TRUE,FALSE,FALSE
HVAC-in-industry,HVAC-control-schemes,Python,NA,NA,FALSE,FALSE,FALSE
FAIRDataPipeline,FAIR-CLI,Python,BSD-2-Clause,v0.2.3,FALSE,FALSE,FALSE
twoodford,m3-realtime-control,Verilog,NA,NA,FALSE,FALSE,FALSE
ciresdem,cudem,Python,MIT,NA,FALSE,FALSE,FALSE
danibene,tympan-pc,C++,NA,v1.0.0,FALSE,FALSE,FALSE
agnes-riviere,treat_molonari_mini_field,R,NA,V1,FALSE,FALSE,FALSE
SciKit-Surgery,scikit-surgerybard,Python,NA,v0.1.0,FALSE,FALSE,FALSE
KayakDov,CoupRliec,Java,NA,NA,FALSE,FALSE,FALSE
programLyrique,asttoolsr,C++,GPL-3.0,NA,FALSE,FALSE,FALSE
ambarja,snowfalldb-peru,R,CC-BY-4.0,v.0.0.1,FALSE,FALSE,FALSE
estevaofuzaro98,instrumentation-app,NA,MIT,NA,FALSE,FALSE,FALSE
briandfoy,net-publicsuffixlist,Perl,Artistic-2.0,release-0.502,FALSE,FALSE,FALSE
wangsiqidahaoren,Rmove-method,Python,NA,NA,FALSE,FALSE,FALSE
vasude1,UMAT,TeX,NA,NA,FALSE,FALSE,FALSE
brobeson,tracking-analyzer,C++,GPL-3.0,NA,FALSE,FALSE,FALSE
NickleDave,evfuncs,Python,BSD-3-Clause,0.3.4,FALSE,FALSE,FALSE
leizton,tensorflow,C++,Apache-2.0,NA,FALSE,FALSE,TRUE
techiaith,brawddegau-tagiedig,NA,CC0-1.0,v20.10,FALSE,FALSE,FALSE
Mariana-plr,IPAQlong,R,NA,v.0.1.1,FALSE,FALSE,FALSE
seanpm2001,Degoogled_Android_Phone_VM_Research,Markdown,GPL-3.0,NA,FALSE,FALSE,FALSE
chenzibin2019,docker_file_ubuntu_2004,Dockerfile,NA,NA,FALSE,FALSE,FALSE
FelTam,VRPD-DSS,HTML,MIT,NA,FALSE,FALSE,FALSE
sebastianardelean,graphcoloringusingrqga,Jupyter Notebook,NA,NA,FALSE,FALSE,FALSE
kronoszhang,DALC,Python,NA,NA,FALSE,FALSE,FALSE
gkanogiannis,WorkFlow_fastq2vcf,wdl,GPL-3.0,v.1.0.0,FALSE,FALSE,FALSE
epi-project,brane,Rust,Apache-2.0,v0.5.0,FALSE,FALSE,TRUE
cmbarton,ProxyModeling_2021,HTML,MIT,v1.0,FALSE,FALSE,FALSE
larcc-group,escola-inverno-2021-docker,Python,LGPL-3.0,NA,FALSE,FALSE,FALSE
mattsheng,iBART,R,GPL-3.0,NA,FALSE,FALSE,FALSE
AlanInTsukuba,gender.gap.japan,HTML,MIT,NA,FALSE,FALSE,FALSE
gosling-lang,gosling.js,TypeScript,MIT,v0.9.17,FALSE,FALSE,FALSE
caltechlibrary,datatools,Go,NA,v1.0.5-dev-1,TRUE,FALSE,FALSE
RGLab,rcellontologymapping,Haskell,LGPL-3.0,NA,FALSE,FALSE,FALSE
pytorch,benchmark,Python,BSD-3-Clause,NA,FALSE,FALSE,FALSE
sjvrijn,ConfiguringCMAES,Jupyter Notebook,MIT,NA,FALSE,FALSE,FALSE
SCECcode,cvmhlabn,C,BSD-3-Clause,before_trimming,FALSE,FALSE,FALSE
ghoshavirup0,HighwayENV,NA,MIT,NA,FALSE,FALSE,FALSE
cornerstonejs,cornerstone3D-beta,TypeScript,MIT,docs@0.2.10,FALSE,FALSE,FALSE
ruiwu1990,LGDI,Jupyter Notebook,MIT,NA,FALSE,FALSE,FALSE
benedikthth,BreathFinder,Python,MIT,v0.1.0,FALSE,FALSE,FALSE
AvivYaish,X2VEC,Python,NA,NA,FALSE,FALSE,FALSE
davidsneighbour,hugo-pictures,SCSS,MIT,v0.1.0,FALSE,FALSE,FALSE
salgo60,ProjectOutdoorGyms,Jupyter Notebook,NA,NA,FALSE,FALSE,FALSE
michoug,PhyloEuk,Shell,MIT,NA,FALSE,FALSE,FALSE
mcamagna,HISAT2-pipeline,Python,NA,v1.0.0,FALSE,FALSE,FALSE
TheScorpoi,mi4web,JavaScript,MIT,NA,FALSE,FALSE,FALSE
PINetDalhousie,netpixel,P4,Apache-2.0,NA,FALSE,FALSE,FALSE
atomec-project,atoMEC,Python,BSD-3-Clause,v1.1.1,FALSE,FALSE,FALSE
NatureGeorge,ResNetPPI,Python,Apache-2.0,NA,FALSE,FALSE,FALSE
ewallace,tidyqpcr,R,Apache-2.0,v0.4,TRUE,FALSE,FALSE
nickwkoning,NOS,R,MIT,NA,FALSE,FALSE,FALSE
catg-umag,bcell-lymphomas-mutational-signatures,Jupyter Notebook,MIT,NA,FALSE,FALSE,FALSE
XZhu-lab,Fusion-accuracy-assessment,NA,NA,NA,FALSE,FALSE,FALSE
SoftwareUnderstanding,SOMEF-Vider,Vue,Apache-2.0,0.0.2,FALSE,FALSE,FALSE
DPIclimate,ag-node,C++,MIT,NA,FALSE,FALSE,FALSE
vaneseltine,nominally,Python,AGPL-3.0,1.1.0,FALSE,FALSE,FALSE
mhucka,zoinks,Python,NA,v0.0.5,TRUE,FALSE,FALSE
tombisho,dsSyntheticClient,R,GPL-3.0,0.0.1,FALSE,FALSE,FALSE
montesmariana,semcloud,R,GPL-3.0,v0.1.0-alpha,FALSE,FALSE,FALSE
millawell,ocr-data,Jupyter Notebook,Apache-2.0,1.1,FALSE,FALSE,FALSE
axiom-data-science,project-s2s-sea-ice-guidance,Python,MIT,v1.4,FALSE,FALSE,TRUE
puzzlef,pagerank-adjust-tolerance,C++,MIT,1.0.0,FALSE,FALSE,FALSE
PSL-Chartes-HTR-Students,HN2021-Memorials_Jane_Lathrop_Stanford,NA,NA,1.0,FALSE,FALSE,FALSE
hp2309,roboml,Python,NA,NA,FALSE,FALSE,FALSE
cbri92,FETsegmenter,Python,MIT,v.1.0.0,FALSE,FALSE,FALSE
Alec-Stashevsky,blocklength,R,NA,v0.1.5,FALSE,FALSE,FALSE
hashkeks,sregistry-podman-compose,JavaScript,MPL-2.0,NA,FALSE,FALSE,FALSE
mmaniu,xfce-nameday-plugin,C,NA,0.0.1,FALSE,FALSE,FALSE
mvfbarrionuevo,PyAdjust,Python,GPL-3.0,pyadjust-v.1.0.0,FALSE,FALSE,TRUE
WU-BIMAC,4DNMetadataSchemaXSD2JSONConverter,Java,GPL-3.0,v2.01,FALSE,FALSE,FALSE
puzzlef,pagerank-adjust-csr-datatype,C++,MIT,1.0.0,FALSE,FALSE,FALSE
chandrikadeb7,Face-Mask-Detection,Jupyter Notebook,MIT,v1.0.0,FALSE,FALSE,FALSE
Arexh,SLAM-Benchmark,C++,GPL-3.0,NA,FALSE,FALSE,FALSE
nicoguaro,continuum_mechanics,Python,MIT,v0.2.2,FALSE,FALSE,FALSE
cgxeiji,servo,Go,MIT,v0.1.1,FALSE,FALSE,FALSE
TheRetikGM,OpenGL-Template,C++,NA,NA,FALSE,FALSE,FALSE
aphalo,ggspectra,R,NA,v0.3.7,FALSE,FALSE,FALSE
duttm,Octahedra_Nanoparticle_Project,Python,MIT,v1.0.0,FALSE,FALSE,FALSE
geodeepak,Pygmt,Python,BSD-3-Clause,v0.5.0,FALSE,FALSE,FALSE
explosion,thinc,Python,MIT,v8.0.15,FALSE,FALSE,FALSE
t-weber,mathlibs,C++,GPL-3.0,v0.3.1,FALSE,FALSE,FALSE
